ID,RAC1P,RAC2P,RAC3P,PERNP,SCHG,SCHL
000001,1,1,1,0,,18
000002,6,57,9,0,,20
000003,6,57,9,0,,18
000004,1,1,1,467000,,18
000005,1,1,1,0,,16
000006,1,1,1,0,15,16
000007,9,68,21,70000,,19
000008,8,67,15,24000,,14
000009,1,1,1,0,,21
000010,1,1,1,0,,20
000011,1,1,1,10300,,17
000012,1,1,1,0,15,18
000013,1,1,1,0,,20
000014,1,1,1,33400,,17
000015,1,1,1,18500,15,19
000016,1,1,1,20000,,21
000017,1,1,1,54000,,21
000018,1,1,1,,10,10
000019,1,1,1,,9,9
000020,1,1,1,,7,7
000021,1,1,1,,5,5
000022,6,57,9,155000,,22
000023,6,57,9,80000,,21
000024,6,57,9,,4,5
000025,6,57,9,,1,2
000026,5,37,3,2400,,21
000027,1,1,1,45600,,22
000028,1,1,1,36000,,20
000029,1,1,1,36000,,19
000030,1,1,1,,3,3
000031,1,1,1,,,1
000032,1,1,1,60000,,16
000033,1,1,1,25000,,16
000034,1,1,1,35000,,18
000035,1,1,1,7400,,16
000036,1,1,1,22200,,19
000037,6,57,9,130000,,24
000038,6,57,9,50000,,22
000039,6,57,9,,,
000040,6,57,9,5300,,21
000041,6,57,9,0,,21
000042,1,1,1,20,,1
000043,1,1,1,0,,1
000044,1,1,1,0,,1
000045,1,1,1,0,,18
000046,1,1,1,0,,16
000047,1,1,1,383000,,21
000048,1,1,1,36000,,18
000049,1,1,1,6000,,18
000050,1,1,1,0,,21
000051,1,1,1,0,,20
000052,1,1,1,0,,24
000053,1,1,1,0,,19
000054,1,1,1,45000,,17
000055,1,1,1,,,
000056,1,1,1,,4,5
000057,1,1,1,0,,15
000058,1,1,1,0,,16
000059,1,1,1,0,,21
000060,1,1,1,129000,,22
000061,1,1,1,30000,,20
000062,1,1,1,40000,,18
000063,1,1,1,0,,21
000064,1,1,1,,,1
000065,1,1,1,,,
000066,1,1,1,35000,,18
000067,1,1,1,460,,22
000068,1,1,1,38000,,22
000069,1,1,1,0,,21
000070,1,1,1,0,,16
000071,8,67,15,15000,15,19
000072,1,1,1,0,,21
000073,1,1,1,28000,,21
000074,1,1,1,,,
000075,1,1,1,,,
000076,1,1,1,108000,,21
000077,1,1,1,5600,15,20
000078,1,1,1,7600,,19
000079,9,68,32,0,15,20
000080,8,67,15,70000,,12
000081,8,67,15,0,,16
000082,8,67,15,,6,6
000083,8,67,15,,5,5
000084,8,67,15,,,1
000085,8,67,15,25000,,12
000086,1,1,1,45000,,22
000087,1,1,1,,10,10
000088,1,1,1,,9,9
000089,1,1,1,100000,,20
000090,1,1,1,100000,,21
000091,1,1,1,467000,,22
000092,1,1,1,30000,,21
000093,1,1,1,180000,,21
000094,1,1,1,91000,,21
000095,1,1,1,62000,,16
000096,1,1,1,20300,,16
000097,1,1,1,0,,20
000098,6,43,5,38000,,20
000099,6,43,5,0,,16
000100,6,43,5,,10,10
000101,1,1,1,5000,15,19
000102,1,1,1,180000,,21
000103,1,1,1,0,,21
000104,1,1,1,0,,21
000105,1,1,1,0,,17
000106,1,1,1,0,,18
000107,1,1,1,0,,22
000108,1,1,1,0,15,18
000109,1,1,1,0,,21
000110,1,1,1,95000,,21
000111,1,1,1,0,14,14
000112,1,1,1,20600,,18
000113,9,68,16,,,1
000114,1,1,1,,4,4
000115,1,1,1,18000,,15
000116,1,1,1,15000,,12
000117,1,1,1,,11,12
000118,1,1,1,20000,,16
000119,1,1,1,0,,22
000120,1,1,1,0,,19
000121,1,1,1,21100,,22
000122,1,1,1,0,,19
000123,9,68,16,,3,3
000124,9,68,16,,,1
000125,1,1,1,10700,,19
000126,1,1,1,,11,12
000127,1,1,1,48000,,22
000128,1,1,1,120000,,16
000129,1,1,1,0,,19
000130,1,1,1,55000,,18
000131,1,1,1,118000,,21
000132,1,1,1,,8,8
000133,1,1,1,37000,,18
000134,1,1,1,33000,,19
000135,1,1,1,150000,,22
000136,1,1,1,20000,15,21
000137,1,1,1,22800,,21
000138,1,1,1,5000,,18
000139,1,1,1,22900,,18
000140,1,1,1,55000,15,19
000141,1,1,1,0,,21
000142,1,1,1,0,,18
000143,1,1,1,25000,,21
000144,1,1,1,40000,,20
000145,1,1,1,30000,,19
000146,3,3,3,51000,,21
000147,1,1,1,155000,,21
000148,1,1,1,0,,22
000149,1,1,1,120000,,21
000150,1,1,1,93000,,21
000151,6,43,5,84000,,23
000152,1,1,1,45000,,21
000153,1,1,1,5000,,16
