AGEP,MAR,SCHL,SEX,PERNP,RAC1P
57,3,18,2,0,1
45,5,20,2,0,6
67,3,18,2,0,6
53,1,18,2,467000,1
57,1,16,1,0,1
19,5,16,1,0,1
46,5,19,1,70000,9
40,5,14,1,,8
70,1,21,1,0,1
67,1,20,2,0,1
22,5,17,1,10300,1
20,5,18,2,0,1
44,1,20,2,0,1
49,1,17,1,33400,1
25,5,19,1,18500,1
42,1,21,2,20000,1
49,1,21,1,54000,1
14,5,10,2,,1
12,5,9,1,,1
10,5,7,2,,1
8,5,5,2,,1
36,1,22,1,155000,6
39,1,21,2,80000,6
8,5,5,1,,6
4,5,2,1,,6
57,2,21,2,2400,5
50,5,22,2,45600,1
39,1,20,2,36000,1
36,1,19,1,36000,1
6,5,3,1,,1
4,5,1,2,,1
60,1,16,1,60000,1
52,1,16,2,25000,1
30,5,18,1,35000,1
23,5,16,2,7400,1
77,3,19,1,22200,1
31,1,24,1,130000,6
31,1,22,2,50000,6
0,5,,1,,6
67,1,21,1,5300,6
66,2,21,2,0,6
29,4,1,1,20,1
23,5,1,2,0,1
18,3,1,1,0,1
64,2,18,1,0,1
94,2,16,2,0,1
41,3,21,2,383000,1
31,3,18,2,36000,1
34,5,18,1,6000,1
66,1,21,1,0,1
69,1,20,2,0,1
82,1,24,1,0,1
80,1,19,2,0,1
29,3,17,1,45000,1
2,5,,2,,1
8,5,5,2,,1
23,5,15,2,0,1
87,1,16,2,0,1
49,1,21,2,0,1
49,1,22,1,129000,1
53,1,20,2,30000,1
55,1,18,1,40000,1
33,1,21,2,0,1
3,5,1,2,,1
0,5,,2,,1
33,1,18,1,35000,1
66,1,22,1,460,1
65,1,22,2,38000,1
65,1,21,1,0,1
75,1,16,2,0,1
19,5,19,1,15000,8
27,1,21,2,0,1
27,1,21,1,28000,1
2,5,,2,,1
1,5,,2,,1
53,3,21,1,108000,1
27,5,20,2,5600,1
27,5,19,2,7600,1
21,5,20,2,0,9
31,1,12,1,70000,8
34,1,16,2,0,8
10,5,6,1,,8
8,5,5,1,,8
3,5,1,1,,8
30,5,12,1,25000,8
41,2,22,2,45000,1
13,5,10,1,,1
11,5,9,1,,1
53,1,20,1,100000,1
45,1,21,2,100000,1
64,1,22,1,467000,1
62,1,21,2,30000,1
57,1,21,1,180000,1
56,1,21,2,91000,1
50,1,16,1,62000,1
45,1,16,2,20300,1
66,3,20,2,0,1
49,1,20,1,38000,6
51,1,16,2,0,6
14,5,10,1,,6
18,5,19,1,5000,1
44,5,21,1,180000,1
63,1,21,1,0,1
60,1,21,2,0,1
85,1,17,1,0,1
86,1,18,2,0,1
77,2,22,1,0,1
18,5,18,2,0,1
53,1,21,2,0,1
49,1,21,1,95000,1
17,5,14,1,0,1
26,5,18,2,20600,1
5,5,1,1,,9
8,5,4,1,,1
29,5,15,1,18000,1
57,3,12,2,15000,1
14,5,12,2,,1
56,3,16,1,20000,1
70,1,22,2,0,1
69,1,19,1,0,1
26,5,22,2,21100,1
54,3,19,2,0,1
